,Date,Underlying,Time_to_Expiration,Strike_Price,Option_Price,Risk_free,Implied_Volatility,Moneyness,Rounded_Time_to_Expiration
60,2024-11-04,560.68,0.0684462696783025,430.0,133.4,4.471,0.6030105479283266,0.7669258757223373,0.07
63,2024-11-15,554.08,0.0383299110198494,430.0,128.13,4.471,0.9356168774236452,0.7760612185965925,0.04
64,2024-11-22,559.14,0.0191649555099247,430.0,130.12,4.471,0.9686015205507351,0.7690381657545516,0.02
65,2024-10-30,591.8,0.082135523613963,435.0,165.7,4.471,0.9047317598937165,0.73504562352146,0.08
66,2024-11-01,567.16,0.0766598220396988,435.0,140.5,4.471,0.8327676952220749,0.76697933563721,0.08
69,2024-11-01,567.16,0.0766598220396988,440.0,129.95,4.471,0.5393231133353436,0.7757951900698216,0.08
71,2024-11-15,554.08,0.0383299110198494,440.0,123.0,4.471,1.1270991251971547,0.7941091539127924,0.04
68,2024-10-17,576.93,0.1177275838466803,440.0,141.21,4.471,0.5009881362269121,0.7626575147764895,0.12
73,2024-10-23,563.69,0.1013004791238877,445.0,122.88,4.471,0.49637979242087504,0.7894410048076069,0.1
74,2024-10-25,573.25,0.0958247775496235,445.0,135.95,4.471,0.6850103546522242,0.7762756214566071,0.1
75,2024-10-30,591.8,0.082135523613963,445.0,153.9,4.471,0.7873265273335854,0.7519432240621833,0.08
85,2024-11-22,559.14,0.0191649555099247,450.0,110.1,4.471,0.8151014380392897,0.8048073827663913,0.02
79,2024-10-16,576.79,0.1204654346338124,450.0,133.0,4.471,0.5377335669338761,0.7801799615111219,0.12
80,2024-10-17,576.93,0.1177275838466803,450.0,132.79,4.471,0.5331807266870785,0.7799906401123187,0.12
81,2024-10-22,582.01,0.1040383299110198,450.0,135.39,4.471,0.46803761682625944,0.7731825913644096,0.1
82,2024-10-25,573.25,0.0958247775496235,450.0,130.0,4.471,0.6292434209222955,0.7849978194505015,0.1
83,2024-11-12,584.82,0.0465434633812457,450.0,151.0,4.471,1.3685615750604971,0.7694675284702985,0.05
90,2024-11-15,554.08,0.0383299110198494,455.0,103.1,4.471,0.7660562748391185,0.8211810568870921,0.04
87,2024-10-28,578.16,0.0876112251882272,455.0,127.45,4.471,0.552527571987059,0.7869793828697939,0.09
89,2024-10-31,567.58,0.0793976728268309,455.0,115.43,4.471,0.46997409496688886,0.8016491067338525,0.08
104,2024-11-11,583.17,0.0492813141683778,460.0,125.07,4.471,0.5886383935834426,0.7887922904127442,0.05
101,2024-11-04,560.68,0.0684462696783025,460.0,109.75,4.471,0.7427657644881932,0.8204323321680816,0.07
100,2024-10-31,567.58,0.0793976728268309,460.0,112.52,4.471,0.5624466777773738,0.8104584375770816,0.08
99,2024-10-30,591.8,0.082135523613963,460.0,135.24,4.471,0.5465418586392959,0.777289624873268,0.08
105,2024-11-15,554.08,0.0383299110198494,460.0,103.0,4.471,0.9701739472222024,0.830205024545192,0.04
97,2024-10-24,567.78,0.0985626283367556,460.0,112.5,4.471,0.4818788277276548,0.8101729543132904,0.1
96,2024-10-22,582.01,0.1040383299110198,460.0,125.96,4.471,0.4659549464207687,0.7903644267280631,0.1
94,2024-10-17,576.93,0.1177275838466803,460.0,123.29,4.471,0.5123921918587637,0.797323765448148,0.12
98,2024-10-28,578.16,0.0876112251882272,460.0,122.7,4.471,0.543668776841717,0.7956275079562751,0.09
109,2024-10-14,590.42,0.1259411362080766,465.0,132.98,4.471,0.5449427511710329,0.7875749466481489,0.13
110,2024-10-30,591.8,0.082135523613963,465.0,130.49,4.471,0.5414125281358085,0.7857384251436297,0.08
111,2024-11-11,583.17,0.0492813141683778,465.0,120.0,4.471,0.5566537398775513,0.797366119656361,0.05
118,2024-11-12,584.82,0.0465434633812457,470.0,118.29,4.471,0.6978427696433851,0.8036660852912006,0.05
113,2024-10-14,590.42,0.1259411362080766,470.0,131.4,4.471,0.6160343139422781,0.7960434944615697,0.13
114,2024-10-17,576.93,0.1177275838466803,470.0,114.07,4.471,0.49826226735558593,0.8146568907839773,0.12
115,2024-10-30,591.8,0.082135523613963,470.0,127.99,4.471,0.6346436945179931,0.7941872254139912,0.08
116,2024-10-31,567.58,0.0793976728268309,470.0,102.32,4.471,0.5085886084113916,0.8280770992635399,0.08
117,2024-11-11,583.17,0.0492813141683778,470.0,115.12,4.471,0.5468346833272666,0.8059399488999778,0.05
124,2024-11-07,591.7,0.0602327173169062,475.0,118.99,4.471,0.5110295005601313,0.8027716748352205,0.06
121,2024-10-15,586.27,0.1232032854209445,475.0,115.9,4.471,0.40180441404850714,0.8102069012571,0.12
122,2024-10-25,573.25,0.0958247775496235,475.0,108.65,4.471,0.6225143143515132,0.8286088094199738,0.1
125,2024-10-14,590.42,0.1259411362080766,480.0,119.36,4.471,0.5253749787087175,0.8129805900884117,0.13
126,2024-10-30,591.8,0.082135523613963,480.0,121.0,4.471,0.6875480148008454,0.8110848259547145,0.08
127,2024-11-04,560.68,0.0684462696783025,480.0,84.5,4.471,0.4425020813002985,0.8561033031319113,0.07
128,2024-11-15,554.08,0.0383299110198494,480.0,76.44,4.471,0.5003962894757542,0.8663008951775916,0.04
136,2024-11-12,584.82,0.0465434633812457,485.0,108.45,4.471,0.8498696465375499,0.8293150029068772,0.05
133,2024-10-21,575.16,0.1067761806981519,485.0,95.5,4.471,0.40574666461638403,0.8432436191668405,0.11
134,2024-10-30,591.8,0.082135523613963,485.0,116.0,4.471,0.6630161706813378,0.8195336262250761,0.08
135,2024-10-31,567.58,0.0793976728268309,485.0,86.62,4.471,0.412875079098938,0.8545050917932273,0.08
137,2024-11-15,554.08,0.0383299110198494,485.0,71.11,4.471,0.4463335329660699,0.8753248628356916,0.04
138,2024-11-22,559.14,0.0191649555099247,485.0,75.72,4.471,0.6563117275501058,0.8674035125371106,0.02
144,2024-11-04,560.68,0.0684462696783025,490.0,79.49,4.471,0.565134333012894,0.8739387886138261,0.07
143,2024-10-31,567.58,0.0793976728268309,490.0,84.0,4.471,0.47774735284136693,0.8633144226364565,0.08
146,2024-11-07,591.7,0.0602327173169062,490.0,103.55,4.471,0.40235649529467443,0.8281223593037011,0.06
141,2024-10-17,576.93,0.1177275838466803,490.0,95.05,4.471,0.44619019624169604,0.8493231414556359,0.12
140,2024-10-14,590.42,0.1259411362080766,490.0,111.85,4.471,0.5438292887391192,0.8299176857152536,0.13
142,2024-10-18,576.47,0.1149897330595482,490.0,94.37,4.471,0.44570203671615627,0.8500008673478238,0.11
159,2024-11-12,584.82,0.0465434633812457,495.0,91.8,4.471,0.4580826144027082,0.8464142813173283,0.05
157,2024-11-04,560.68,0.0684462696783025,495.0,74.59,4.471,0.5398412099268939,0.8828565313547836,0.07
163,2024-11-21,563.09,0.0219028062970568,495.0,69.13,4.471,0.4894613183833913,0.8790779449111153,0.02
160,2024-11-15,554.08,0.0383299110198494,495.0,73.95,4.471,0.8914559760877042,0.8933727981518914,0.04
156,2024-10-31,567.58,0.0793976728268309,495.0,75.78,4.471,0.33190628879385387,0.8721237534796856,0.08
149,2024-10-18,576.47,0.1149897330595482,495.0,89.9,4.471,0.43882007816421603,0.8586743455860669,0.11
153,2024-10-28,578.16,0.0876112251882272,495.0,89.74,4.471,0.4696187731181036,0.8561643835616439,0.09
152,2024-10-24,567.78,0.0985626283367556,495.0,80.95,4.471,0.445039535048747,0.8718165486632147,0.1
151,2024-10-23,563.69,0.1013004791238877,495.0,79.69,4.471,0.48864973016126323,0.8781422413028437,0.1
150,2024-10-22,582.01,0.1040383299110198,495.0,92.65,4.471,0.40471031350314385,0.8505008505008506,0.1
155,2024-10-30,591.8,0.082135523613963,495.0,105.33,4.471,0.5953512426127535,0.8364312267657993,0.08
164,2024-11-18,554.4,0.0301163586584531,497.5,58.55,4.471,0.4086140014077612,0.8973665223665224,0.03
191,2024-11-22,559.14,0.0191649555099247,500.0,60.0,4.471,0.44490898790426,0.8942304252959903,0.02
186,2024-11-15,554.08,0.0383299110198494,500.0,56.6,4.471,0.3951310621393904,0.9023967658099913,0.04
185,2024-11-14,577.16,0.0410677618069815,500.0,78.3,4.471,0.3378104650656785,0.8663109016563865,0.04
184,2024-11-13,580.0,0.0438056125941136,500.0,83.28,4.471,0.5239710811724342,0.8620689655172413,0.04
183,2024-11-12,584.82,0.0465434633812457,500.0,88.6,4.471,0.5528553722126677,0.8549639205225539,0.05
180,2024-11-07,591.7,0.0602327173169062,500.0,94.71,4.471,0.4559462159022132,0.8450228156160215,0.06
178,2024-11-05,572.43,0.0657084188911704,500.0,76.48,4.471,0.4147734789234116,0.8734692451478784,0.07
177,2024-11-04,560.68,0.0684462696783025,500.0,66.0,4.471,0.405893597469099,0.891774274095741,0.07
176,2024-11-01,567.16,0.0766598220396988,500.0,74.75,4.471,0.47185894815689683,0.881585443261161,0.08
175,2024-10-30,591.8,0.082135523613963,500.0,100.63,4.471,0.5799094848486285,0.8448800270361609,0.08
166,2024-10-15,586.27,0.1232032854209445,500.0,97.5,4.471,0.49249097983378887,0.8528493697443158,0.12
173,2024-10-28,578.16,0.0876112251882272,500.0,87.03,4.471,0.5106305337438825,0.8648125086481251,0.09
172,2024-10-25,573.25,0.0958247775496235,500.0,84.67,4.471,0.5261338211660894,0.8722197993894462,0.1
171,2024-10-24,567.78,0.0985626283367556,500.0,77.5,4.471,0.4594096048133461,0.8806227764274895,0.1
170,2024-10-23,563.69,0.1013004791238877,500.0,75.55,4.471,0.4827936516592879,0.8870123649523673,0.1
169,2024-10-22,582.01,0.1040383299110198,500.0,90.9,4.471,0.474775827622257,0.8590917681826773,0.1
168,2024-10-18,576.47,0.1149897330595482,500.0,87.94,4.471,0.48549598312586545,0.86734782382431,0.11
167,2024-10-17,576.93,0.1177275838466803,500.0,88.95,4.471,0.4915528626399878,0.8666562667914652,0.12
174,2024-10-29,593.28,0.0848733744010951,500.0,96.6,4.471,0.37777395580351725,0.84277238403452,0.08
165,2024-10-14,590.42,0.1259411362080766,500.0,106.0,4.471,0.583941585988603,0.8468547813420955,0.13
202,2024-11-01,567.16,0.0766598220396988,505.0,70.22,4.471,0.45929844716536206,0.8904012976937725,0.08
203,2024-11-04,560.68,0.0684462696783025,505.0,65.56,4.471,0.5082092825779493,0.9006920168366984,0.07
201,2024-10-31,567.58,0.0793976728268309,505.0,66.82,4.471,0.33619267916880813,0.8897424151661439,0.08
205,2024-11-18,554.4,0.0301163586584531,505.0,51.0,4.471,0.35880354290441757,0.910894660894661,0.03
206,2024-11-19,561.09,0.027378507871321,505.0,56.92,4.471,0.31575776936363176,0.9000338626601793,0.03
208,2024-11-21,563.09,0.0219028062970568,505.0,59.25,4.471,0.4414448156484818,0.8968370953133602,0.02
200,2024-10-29,593.28,0.0848733744010951,505.0,93.85,4.471,0.45340547457542907,0.8512001078748652,0.08
204,2024-11-15,554.08,0.0383299110198494,505.0,49.95,4.471,0.1583761903467068,0.9114207334680912,0.04
198,2024-10-24,567.78,0.0985626283367556,505.0,72.85,4.471,0.4438460532095188,0.8894290041917644,0.1
197,2024-10-23,563.69,0.1013004791238877,505.0,73.0,4.471,0.5064506875442985,0.895882488601891,0.1
196,2024-10-22,582.01,0.1040383299110198,505.0,84.01,4.471,0.40560703928241126,0.867682685864504,0.1
195,2024-10-21,575.16,0.1067761806981519,505.0,77.89,4.471,0.3956791080424449,0.8780165519159886,0.11
194,2024-10-18,576.47,0.1149897330595482,505.0,83.9,4.471,0.48267345807830725,0.8760213020625531,0.11
193,2024-10-14,590.42,0.1259411362080766,505.0,99.7,4.471,0.5380374465543882,0.8553233291555165,0.13
192,2024-10-11,589.95,0.1341546885694729,505.0,90.54,4.471,0.32376646767900075,0.8560047461649292,0.13
199,2024-10-28,578.16,0.0876112251882272,505.0,82.55,4.471,0.4998112627017433,0.8734606337346064,0.09
224,2024-11-18,554.4,0.0301163586584531,510.0,48.0,4.471,0.44945653885648557,0.9199134199134199,0.03
223,2024-11-15,554.08,0.0383299110198494,510.0,47.15,4.471,0.3648911856411357,0.9204447011261911,0.04
222,2024-11-12,584.82,0.0465434633812457,510.0,83.05,4.471,0.6738770487008942,0.872063198933005,0.05
221,2024-11-11,583.17,0.0492813141683778,510.0,75.1,4.471,0.3619150981217757,0.874530582848912,0.05
220,2024-11-07,591.7,0.0602327173169062,510.0,84.41,4.471,0.39397809497335756,0.861923271928342,0.06
218,2024-11-01,567.16,0.0766598220396988,510.0,65.77,4.471,0.4476730128479628,0.8992171521263841,0.08
227,2024-11-22,559.14,0.0191649555099247,510.0,50.2,4.471,0.4069324876753581,0.9121150338019101,0.02
215,2024-10-25,573.25,0.0958247775496235,510.0,79.0,4.471,0.5641244218536522,0.8896641953772351,0.1
214,2024-10-24,567.78,0.0985626283367556,510.0,68.05,4.471,0.42456578560989866,0.8982352319560394,0.1
213,2024-10-23,563.69,0.1013004791238877,510.0,68.45,4.471,0.4891949202217353,0.9047526122514147,0.1
212,2024-10-22,582.01,0.1040383299110198,510.0,81.85,4.471,0.45341319084222825,0.8762736035463309,0.1
211,2024-10-21,575.16,0.1067761806981519,510.0,72.25,4.471,0.3593360522694148,0.8867097851032757,0.11
210,2024-10-16,576.79,0.1204654346338124,510.0,76.6,4.471,0.39756764739914113,0.8842039563792715,0.12
217,2024-10-30,591.8,0.082135523613963,510.0,93.45,4.471,0.6022431350414678,0.8617776275768841,0.08
240,2024-11-22,559.14,0.0191649555099247,515.0,44.97,4.471,0.33933293195576947,0.92105733805487,0.02
238,2024-11-20,565.52,0.0246406570841889,515.0,51.75,4.471,0.368345353767236,0.9106662894327345,0.02
237,2024-11-18,554.4,0.0301163586584531,515.0,41.71,4.471,0.3457700745511783,0.9289321789321789,0.03
236,2024-11-15,554.08,0.0383299110198494,515.0,43.35,4.471,0.38475345160727137,0.929468668784291,0.04
234,2024-11-04,560.68,0.0684462696783025,515.0,52.29,4.471,0.3676849212736492,0.9185275023186132,0.07
235,2024-11-12,584.82,0.0465434633812457,515.0,78.15,4.471,0.6450724941716971,0.8806128381382304,0.05
232,2024-10-29,593.28,0.0848733744010951,515.0,83.05,4.471,0.38418592087960274,0.8680555555555556,0.08
231,2024-10-28,578.16,0.0876112251882272,515.0,75.22,4.471,0.5109838275345224,0.8907568839075689,0.09
230,2024-10-25,573.25,0.0958247775496235,515.0,70.75,4.471,0.47498717899393944,0.8983863933711296,0.1
229,2024-10-23,563.69,0.1013004791238877,515.0,75.5,4.471,0.6678110901846939,0.9136227359009383,0.1
228,2024-10-17,576.93,0.1177275838466803,515.0,74.73,4.471,0.4403589708069626,0.8926559547952092,0.12
233,2024-11-01,567.16,0.0766598220396988,515.0,57.85,4.471,0.344970897119502,0.9080330065589958,0.08
253,2024-11-01,567.16,0.0766598220396988,520.0,56.0,4.471,0.40084253061775427,0.9168488609916073,0.08
267,2024-11-22,559.14,0.0191649555099247,520.0,40.04,4.471,0.3160533139263525,0.9299996423078299,0.02
265,2024-11-20,565.52,0.0246406570841889,520.0,47.0,4.471,0.36174645251457427,0.9195077097184892,0.02
263,2024-11-18,554.4,0.0301163586584531,520.0,40.7,4.471,0.48323886343614375,0.937950937950938,0.03
262,2024-11-15,554.08,0.0383299110198494,520.0,38.62,4.471,0.360933164062945,0.9384926364423909,0.04
258,2024-11-08,589.34,0.0574948665297741,520.0,70.84,4.471,0.24387155251751713,0.8823429599212678,0.06
257,2024-11-07,591.7,0.0602327173169062,520.0,73.49,4.471,0.278960575504626,0.8788237282406625,0.06
255,2024-11-05,572.43,0.0657084188911704,520.0,54.7,4.471,0.23885364062616304,0.9084080149537935,0.07
254,2024-11-04,560.68,0.0684462696783025,520.0,47.7,4.471,0.35163415305320916,0.9274452450595706,0.07
252,2024-10-31,567.58,0.0793976728268309,520.0,55.73,4.471,0.37850270588796103,0.9161704076958314,0.08
264,2024-11-19,561.09,0.027378507871321,520.0,43.0,4.471,0.34667632229258255,0.9267675417490955,0.03
250,2024-10-29,593.28,0.0848733744010951,520.0,79.53,4.471,0.41152872909159344,0.8764832793959008,0.08
241,2024-10-10,583.83,0.136892539356605,520.0,80.41,4.471,0.4670077858616153,0.890670229347584,0.14
251,2024-10-30,591.8,0.082135523613963,520.0,84.75,4.471,0.5801356646854052,0.8786752281176073,0.08
243,2024-10-17,576.93,0.1177275838466803,520.0,70.8,4.471,0.43699132314971645,0.9013225174631239,0.12
244,2024-10-18,576.47,0.1149897330595482,520.0,68.26,4.471,0.40370690621297745,0.9020417367772824,0.11
242,2024-10-16,576.79,0.1204654346338124,520.0,70.65,4.471,0.4304997814769017,0.9015412888572965,0.12
246,2024-10-23,563.69,0.1013004791238877,520.0,59.75,4.471,0.45990813700226324,0.922492859550462,0.1
247,2024-10-24,567.78,0.0985626283367556,520.0,61.55,4.471,0.44388384257891,0.9158476874845891,0.1
248,2024-10-25,573.25,0.0958247775496235,520.0,69.35,4.471,0.5176465434685517,0.907108591365024,0.1
249,2024-10-28,578.16,0.0876112251882272,520.0,69.43,4.471,0.46874774688538245,0.8994050089940502,0.09
245,2024-10-21,575.16,0.1067761806981519,520.0,66.65,4.471,0.41103863507177324,0.9040962514778497,0.11
279,2024-11-08,589.34,0.0574948665297741,525.0,66.57,4.471,0.3031218428084674,0.8908270268435877,0.06
287,2024-11-22,559.14,0.0191649555099247,525.0,35.57,4.471,0.3360163024721295,0.9389419465607898,0.02
286,2024-11-21,563.09,0.0219028062970568,525.0,39.66,4.471,0.3465104968399397,0.9323553961178497,0.02
284,2024-11-19,561.09,0.027378507871321,525.0,37.4,4.471,0.2684449968624611,0.9356787681120675,0.03
283,2024-11-18,554.4,0.0301163586584531,525.0,32.75,4.471,0.32770120959609594,0.946969696969697,0.03
282,2024-11-15,554.08,0.0383299110198494,525.0,33.36,4.471,0.317006447958519,0.9475166041004909,0.04
281,2024-11-12,584.82,0.0465434633812457,525.0,65.05,4.471,0.47648598225597916,0.8977121165486815,0.05
280,2024-11-11,583.17,0.0492813141683778,525.0,60.13,4.471,0.29781638995969495,0.9002520705797624,0.05
278,2024-11-07,591.7,0.0602327173169062,525.0,71.44,4.471,0.4208010947971618,0.8872739563968226,0.06
276,2024-11-05,572.43,0.0657084188911704,525.0,52.95,4.471,0.34603210213170016,0.9171427074052724,0.07
268,2024-10-18,576.47,0.1149897330595482,525.0,64.5,4.471,0.40354091456229974,0.9107152150155254,0.11
275,2024-11-04,560.68,0.0684462696783025,525.0,46.85,4.471,0.41903328415058483,0.9363629878005281,0.07
274,2024-11-01,567.16,0.0766598220396988,525.0,50.28,4.471,0.3578769491614831,0.925664715424219,0.08
273,2024-10-31,567.58,0.0793976728268309,525.0,69.12,4.471,0.7082237611126179,0.9249797385390605,0.08
272,2024-10-30,591.8,0.082135523613963,525.0,81.38,4.471,0.5881579145609166,0.887124028387969,0.08
271,2024-10-29,593.28,0.0848733744010951,525.0,74.8,4.471,0.39775979939514516,0.8849110032362459,0.08
270,2024-10-24,567.78,0.0985626283367556,525.0,57.45,4.471,0.4340786336840547,0.9246539152488641,0.1
269,2024-10-22,582.01,0.1040383299110198,525.0,69.25,4.471,0.4345836836585612,0.9020463565918112,0.1
277,2024-11-06,572.05,0.0629705681040383,525.0,49.35,4.471,0.22830229419525788,0.9177519447600735,0.06
301,2024-11-12,584.82,0.0465434633812457,530.0,57.75,4.471,0.3520227386751345,0.9062617557539071,0.05
302,2024-11-13,580.0,0.0438056125941136,530.0,51.75,4.471,0.2728622837811229,0.9137931034482759,0.04
304,2024-11-15,554.08,0.0383299110198494,530.0,27.75,4.471,0.2610015494867029,0.9565405717585908,0.04
300,2024-11-11,583.17,0.0492813141683778,530.0,56.27,4.471,0.3404257519891435,0.9088258998233791,0.05
306,2024-11-19,561.09,0.027378507871321,530.0,31.82,4.471,0.16327290391739585,0.9445899944750396,0.03
307,2024-11-20,565.52,0.0246406570841889,530.0,37.6,4.471,0.3384916945209898,0.9371905502899986,0.02
308,2024-11-21,563.09,0.0219028062970568,530.0,34.45,4.471,0.2937872029929609,0.941234971318972,0.02
305,2024-11-18,554.4,0.0301163586584531,530.0,29.45,4.471,0.3542616241630432,0.955988455988456,0.03
298,2024-11-07,591.7,0.0602327173169062,530.0,64.2,4.471,0.29727899914903344,0.8957241845529829,0.06
309,2024-11-22,559.14,0.0191649555099247,530.0,30.65,4.471,0.30369857359839453,0.9478842508137497,0.02
295,2024-11-01,567.16,0.0766598220396988,530.0,46.2,4.471,0.35190420137207856,0.9344805698568306,0.08
294,2024-10-31,567.58,0.0793976728268309,530.0,45.75,4.471,0.32781759075070743,0.9337890693822897,0.08
293,2024-10-30,591.8,0.082135523613963,530.0,74.0,4.471,0.5120198626837166,0.8955728286583305,0.08
292,2024-10-29,593.28,0.0848733744010951,530.0,69.28,4.471,0.36170394996144956,0.8933387270765912,0.08
291,2024-10-24,567.78,0.0985626283367556,530.0,54.14,4.471,0.43642962746731223,0.933460143013139,0.1
290,2024-10-23,563.69,0.1013004791238877,530.0,56.07,4.471,0.5076045548542758,0.9402331068495093,0.1
289,2024-10-22,582.01,0.1040383299110198,530.0,62.5,4.471,0.3780529427337583,0.9106372742736379,0.1
288,2024-10-10,583.83,0.136892539356605,530.0,72.3,4.471,0.45200559069182844,0.9077985029888836,0.14
296,2024-11-05,572.43,0.0657084188911704,530.0,48.62,4.471,0.3393220440240996,0.9258773998567511,0.07
325,2024-11-22,559.14,0.0191649555099247,535.0,25.09,4.471,0.21779777791894617,0.9568265550667097,0.02
324,2024-11-21,563.09,0.0219028062970568,535.0,29.95,4.471,0.2935907987286039,0.9501145465200944,0.02
322,2024-11-19,561.09,0.027378507871321,535.0,26.9,4.471,0.15533688893587813,0.9535012208380117,0.03
320,2024-11-15,554.08,0.0383299110198494,535.0,26.55,4.471,0.3388819471089971,0.9655645394166906,0.04
319,2024-11-12,584.82,0.0465434633812457,535.0,51.91,4.471,0.2805019075385894,0.9148113949591327,0.05
321,2024-11-18,554.4,0.0301163586584531,535.0,24.25,4.471,0.30512992126444755,0.9650072150072151,0.03
313,2024-10-25,573.25,0.0958247775496235,535.0,57.6,4.471,0.49127775090196873,0.9332751853467074,0.1
312,2024-10-23,563.69,0.1013004791238877,535.0,53.0,4.471,0.5076776235082611,0.9491032304990331,0.1
311,2024-10-22,582.01,0.1040383299110198,535.0,61.25,4.471,0.42295748320077287,0.9192281919554647,0.1
310,2024-10-15,586.27,0.1232032854209445,535.0,65.76,4.471,0.40311633767160343,0.9125488256264179,0.12
314,2024-10-30,591.8,0.082135523613963,535.0,72.75,4.471,0.5608729375116958,0.9040216289286922,0.08
342,2024-11-07,591.7,0.0602327173169062,540.0,57.0,4.471,0.36589949408756917,0.9126246408653033,0.06
344,2024-11-11,583.17,0.0492813141683778,540.0,45.9,4.471,0.2736121768848036,0.9259735583106128,0.05
353,2024-11-22,559.14,0.0191649555099247,540.0,21.48,4.471,0.2707664839056716,0.9657688593196695,0.02
345,2024-11-12,584.82,0.0465434633812457,540.0,48.4,4.471,0.3288913199745848,0.9233610341643582,0.05
346,2024-11-13,580.0,0.0438056125941136,540.0,42.7,4.471,0.27981431889433106,0.9310344827586207,0.04
349,2024-11-18,554.4,0.0301163586584531,540.0,21.08,4.471,0.3179402560984374,0.974025974025974,0.03
348,2024-11-15,554.08,0.0383299110198494,540.0,21.16,4.471,0.2863073035176146,0.9745885070747906,0.04
350,2024-11-19,561.09,0.027378507871321,540.0,22.03,4.471,0.14560043968822628,0.9624124472009837,0.03
351,2024-11-20,565.52,0.0246406570841889,540.0,28.5,4.471,0.31105341696919997,0.954873390861508,0.02
352,2024-11-21,563.09,0.0219028062970568,540.0,25.26,4.471,0.2724950883476217,0.9589941217212168,0.02
341,2024-11-06,572.05,0.0629705681040383,540.0,37.02,4.471,0.2597736710985989,0.9439734288960756,0.06
347,2024-11-14,577.16,0.0410677618069815,540.0,39.8,4.471,0.2750366816313599,0.9356157737888974,0.04
340,2024-11-05,572.43,0.0657084188911704,540.0,37.5,4.471,0.257293662820914,0.9433467847597087,0.07
334,2024-10-28,578.16,0.0876112251882272,540.0,54.65,4.471,0.46130269345994096,0.9339975093399752,0.09
338,2024-11-01,567.16,0.0766598220396988,540.0,38.0,4.471,0.33243061618191105,0.9521122787220538,0.08
339,2024-11-04,560.68,0.0684462696783025,540.0,37.15,4.471,0.42526908353602194,0.9631162160234003,0.07
327,2024-10-16,576.79,0.1204654346338124,540.0,55.3,4.471,0.40981936875937114,0.9362159538133463,0.12
328,2024-10-17,576.93,0.1177275838466803,540.0,57.21,4.471,0.4420069578934122,0.9359887681347825,0.12
329,2024-10-18,576.47,0.1149897330595482,540.0,56.5,4.471,0.4421559235401024,0.9367356497302548,0.11
330,2024-10-21,575.16,0.1067761806981519,540.0,50.89,4.471,0.38766982267480304,0.9388691842269977,0.11
